,id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,City,Location,scheduled_service,local_code
120,19517,small_airport,Camarillo Airport,34.21369934,-119.09400179999999,77.0,US,Camarillo,CALIFORNIA,0,CMA
121,3377,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607.0,US,Amarillo,TEXAS,1,AMA
122,19912,medium_airport,Fort Lauderdale Executive Airport,26.19729996,-80.17070007,13.0,US,Fort Lauderdale,FLORIDA,0,FXE
123,20187,medium_airport,Kissimmee Gateway Airport,28.28980064,-81.43710327,82.0,US,Orlando,FLORIDA,0,ISM
124,19292,small_airport,Napa County Airport,38.2132,-122.280998,35.0,US,Napa,CALIFORNIA,0,APC
126,3448,large_airport,Lovell Field,35.03530121,-85.20379639,683.0,US,Chattanooga,TENNESSEE,1,CHA
127,3449,medium_airport,Charlottesville Albemarle Airport,38.138599400000004,-78.45290375,639.0,US,Charlottesville,VIRGINIA,1,CHO
128,3672,medium_airport,Harrisburg International Airport,40.19350052,-76.76339722,310.0,US,Harrisburg,PENNSYLVANIA,1,MDT
129,19469,small_airport,Buchanan Field,37.98970032,-122.0569992,26.0,US,Concord,NORTH CAROLINA,0,CCR
130,20384,small_airport,Livermore Municipal Airport,37.69340134,-121.8199997,400.0,US,Livermore,CALIFORNIA,0,LVK
131,3438,large_airport,Columbia Metropolitan Airport,33.93880081,-81.11949921,236.0,US,Columbia,SOUTH CAROLINA,1,CAE
132,5449,medium_airport,Lihue Airport,21.97599983,-159.3390045,153.0,US,Lihue,HAWAII,1,LIH
133,19552,medium_airport,Mc Clellan-Palomar Airport,33.12829971,-117.27999879999999,331.0,US,Carlsbad,CALIFORNIA,0,CRQ
134,21045,small_airport,Scottsdale Airport,33.6228981,-111.9110031,1510.0,US,Scottsdale,ARIZONA,0,SDL
135,3408,large_airport,Billings Logan International Airport,45.80770111,-108.5429993,3652.0,US,Billings,MONTANA,1,BIL
136,3594,large_airport,Huntsville International Carl T Jones Field,34.6371994,-86.77510071,629.0,US,Huntsville,TENNESSEE,1,HSV
137,3439,medium_airport,Akron Canton Regional Airport,40.91609955,-81.44219971,1228.0,US,Akron,OHIO,1,CAK
138,3869,medium_airport,San Luis County Regional Airport,35.23680115,-120.6419983,212.0,US,San Luis Obispo,CALIFORNIA,1,SBP
139,3861,medium_airport,Sacramento Executive Airport,38.51250076,-121.49299620000001,24.0,US,Sacramento,CALIFORNIA,0,SAC
140,20805,small_airport,Palo Alto Airport of Santa Clara County,37.46110153,-122.1149979,4.0,US,Palo Alto,CALIFORNIA,0,PAO
141,21384,small_airport,Watsonville Municipal Airport,36.93569946,-121.79000090000001,163.0,US,Watsonville,CALIFORNIA,0,WVI
142,3451,large_airport,The Eastern Iowa Airport,41.88470078,-91.71080017,869.0,US,Cedar Rapids,IOWA,1,CID
143,3562,large_airport,Austin Straubel International Airport,44.48509979,-88.12960052,695.0,US,Green Bay,WISCONSIN,1,GRB
144,3517,medium_airport,Mahlon Sweet Field,44.12459946,-123.211998,374.0,US,Eugene,OREGON,1,EUG
145,3398,medium_airport,Laurence G Hanscom Field,42.47000122,-71.28900146,133.0,US,Bedford,MASSACHUSETTS,0,BED
146,21114,medium_airport,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035,128.0,US,Santa Rosa,CALIFORNIA,1,STS
147,3789,medium_airport,Ernest A. Love Field,34.65449905,-112.41999820000001,5045.0,US,Prescott,ARIZONA,1,PRC
149,5457,medium_airport,Hilo International Airport,19.72139931,-155.04800419999998,38.0,US,Hilo,HAWAII,1,ITO
150,20765,small_airport,Orlando Executive Airport,28.5454998,-81.332901,113.0,US,Orlando,FLORIDA,0,ORL
151,21105,small_airport,San Carlos Airport,37.51190186,-122.25,5.0,US,San Carlos,CALIFORNIA,0,SQL
152,3387,large_airport,Asheville Regional Airport,35.43619919,-82.54180145,2165.0,US,Asheville,NORTH CAROLINA,1,AVL
153,3876,large_airport,Orlando Sanford International Airport,28.77759933,-81.23750305,55.0,US,Orlando,FLORIDA,1,SFB
155,5360,large_airport,Fairbanks International Airport,64.81510162,-147.85600280000003,439.0,US,Fairbanks,ALASKA,1,FAI
156,3879,large_airport,Springfield Branson National Airport,37.24570084,-93.38860321,1268.0,US,Springfield,MISSOURI,1,SGF
157,3788,medium_airport,Paso Robles Municipal Airport,35.67290115,-120.6269989,840.0,US,Paso Robles,CALIFORNIA,0,PRB
158,20068,small_airport,Henderson Executive Airport,35.97280121,-115.1340027,2492.0,US,Las Vegas,NEVADA,0,HND
159,3559,medium_airport,Gainesville Regional Airport,29.69009972,-82.27179718,152.0,US,Gainesville,GEORGIA,1,GNV
160,3618,medium_airport,Jackson Hole Airport,43.6072998,-110.737999,6451.0,US,Jackson,MISSISSIPPI,1,JAC
161,3911,medium_airport,Stewart International Airport,41.504100799999996,-74.10479736,491.0,US,Newburgh,NEW YORK,1,SWF
162,19293,medium_airport,Naples Municipal Airport,26.15259933,-81.77529907,8.0,US,Naples,FLORIDA,0,APF
163,3700,large_airport,Mobile Regional Airport,30.69120026,-88.24279785,219.0,US,Mobile,ALABAMA,1,MOB
164,3530,medium_airport,Flagstaff Pulliam Airport,35.13850021,-111.6709976,7014.0,US,Flagstaff,ARIZONA,1,FLG
165,3628,medium_airport,Lakeland Linder Regional Airport,27.98889923,-82.01860046,142.0,US,Lakeland,FLORIDA,0,LAL
166,20757,medium_airport,Opa-locka Executive Airport,25.90699959,-80.27839661,8.0,US,Miami,FLORIDA,0,OPF
167,3868,large_airport,South Bend Regional Airport,41.70869827,-86.31729889,799.0,US,South Bend,INDIANA,1,SBN
168,3551,medium_airport,Grand Canyon National Park Airport,35.95240021,-112.14700320000001,6609.0,US,Grand Canyon,ARIZONA,1,GCN
169,19672,small_airport,Phoenix Deer Valley Airport,33.68830109,-112.08300020000001,1478.0,US,Phoenix,ARIZONA,0,DVT
170,3717,medium_airport,Myrtle Beach International Airport,33.67969894,-78.92829895,25.0,US,Myrtle Beach,SOUTH CAROLINA,1,MYR
171,3356,medium_airport,Lehigh Valley International Airport,40.65209961,-75.44080353,393.0,US,Allentown,PENNSYLVANIA,1,ABE
172,3763,medium_airport,Snohomish County (Paine Field) Airport,47.90629959,-122.28199769999999,606.0,US,Everett,WASHINGTON,0,PAE
173,3794,small_airport,Pueblo Memorial Airport,38.28910065,-104.49700159999999,4726.0,US,Pueblo,COLORADO,1,PUB
174,19331,small_airport,Catalina Airport,33.4049,-118.416,1602.0,US,Avalon,CALIFORNIA,0,AVX
175,20296,small_airport,Big Bear City Airport,34.26380157,-116.8560028,6752.0,US,Big Bear,CALIFORNIA,0,L35
176,19237,small_airport,Addison Airport,32.96860123,-96.83640289,644.0,US,Dallas,TEXAS,0,ADS
179,3857,large_airport,Rochester International Airport,43.90829849,-92.5,1317.0,US,Rochester,MINNESOTA,1,RST
180,3402,medium_airport,Meadows Field,35.43360138,-119.0569992,510.0,US,Bakersfield,CALIFORNIA,0,BFL
182,3571,medium_airport,Great Falls International Airport,47.48199844,-111.3710022,3680.0,US,Great Falls,MONTANA,1,GTF
183,3360,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47.0,US,Nantucket,MASSACHUSETTS,1,ACK
184,3609,medium_airport,Wilmington International Airport,34.27059937,-77.90260315,32.0,US,Wilmington,NORTH CAROLINA,1,ILM
185,3961,medium_airport,Yuma MCAS/Yuma International Airport,32.65660095,-114.6060028,213.0,US,Yuma,ARIZONA,1,NYL
186,3934,medium_airport,Lake Tahoe Airport,38.89390182,-119.9950027,6264.0,US,South Lake Tahoe,CALIFORNIA,0,TVL
187,3950,medium_airport,Vero Beach Municipal Airport,27.65559959,-80.41790009,24.0,US,Vero Beach,FLORIDA,0,VRB
188,19868,small_airport,Friday Harbor Airport,48.52199936,-123.02400209999999,113.0,US,Friday Harbor,WASHINGTON,1,FHR
189,19905,small_airport,Fullerton Municipal Airport,33.87200165,-117.9800034,96.0,US,Fullerton,CALIFORNIA,0,FUL
191,21314,small_airport,Nut Tree Airport,38.37680054,-121.961998,117.0,US,Vacaville,CALIFORNIA,0,VCB
192,3467,large_airport,Yeager Airport,38.37310028,-81.59320068,981.0,US,Charleston,SOUTH CAROLINA,1,CRW
193,3547,large_airport,Fort Wayne International Airport,40.97850037,-85.19509888,814.0,US,Fort Wayne,INDIANA,1,FWA
194,3523,medium_airport,Hector International Airport,46.92070007,-96.81580353,902.0,US,Fargo,NORTH DAKOTA,1,FAR
195,3679,medium_airport,Rogue Valley International Medford Airport,42.37419891,-122.8730011,1335.0,US,Medford,MASSACHUSETTS,1,MFR
196,3841,medium_airport,Redding Municipal Airport,40.50899887,-122.2929993,505.0,US,Redding,CALIFORNIA,1,RDD
197,3659,medium_airport,Cincinnati Municipal Airport Lunken Field,39.10329819,-84.41860199,483.0,US,Cincinnati,OHIO,0,LUK
199,19308,medium_airport,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820.0,US,Aspen,COLORADO,1,ASE
200,20054,medium_airport,Portland Hillsboro Airport,45.540401,-122.949997,208.0,US,Portland,OREGON,0,HIO
201,20928,small_airport,Reid-Hillview Airport of Santa Clara County,37.332901,-121.8190002,135.0,US,San Jose,CALIFORNIA,0,RHV
202,3561,large_airport,Gulfport Biloxi International Airport,30.40730095,-89.07009888,28.0,US,Gulfport,MISSISSIPPI,1,GPT
203,3647,medium_airport,Lincoln Airport,40.85100174,-96.75920105,1219.0,US,Lincoln,NEBRASKA,1,LNK
205,3576,medium_airport,Hartford Brainard Airport,41.73669815,-72.6493988,18.0,US,Hartford,TENNESSEE,0,HFD
207,20679,small_airport,Columbia Airport,38.03039932,-120.41500090000001,2118.0,US,Columbia,SOUTH CAROLINA,0,O22
208,20101,small_airport,Hayward Executive Airport,37.65919876,-122.12200159999998,52.0,US,Hayward,CALIFORNIA,0,HWD
209,19866,small_airport,Falcon Field,33.46080017,-111.72799679999999,1394.0,US,Mesa,ARIZONA,0,FFZ
210,21209,small_airport,Zamperini Field,33.80339813,-118.3399963,103.0,US,Torrance,CALIFORNIA,0,TOA
211,3429,large_airport,"Baton Rouge Metropolitan, Ryan Field",30.53319931,-91.14959717,70.0,US,Baton Rouge,LOUISIANA,1,BTR
212,3619,large_airport,Jackson-Medgar Wiley Evers International Airport,32.31119919,-90.07589722,346.0,US,Jackson,MISSISSIPPI,1,JAN
213,3695,large_airport,Quad City International Airport,41.44850159,-90.50749969,590.0,US,Moline,ILLINOIS,1,MLI
214,3854,large_airport,RoanokeâBlacksburg Regional Airport,37.3255,-79.975403,1175.0,US,Roanoke,VIRGINIA,1,ROA
215,3925,large_airport,Toledo Express Airport,41.58679962,-83.80780029,683.0,US,Toledo,OHIO,1,TOL
216,3893,medium_airport,Santa Maria Pub/Capt G Allan Hancock Field,34.89889908,-120.4570007,261.0,US,Santa Maria,CALIFORNIA,1,SMX
217,3541,medium_airport,Joe Foss Field Airport,43.58200073,-96.74189758,1429.0,US,Sioux Falls,SOUTH DAKOTA,1,FSD
218,3545,large_airport,Fort Worth Meacham International Airport,32.819801,-97.36239599999999,710.0,US,Fort Worth,TEXAS,0,FTW
220,3617,medium_airport,Phoenix-Mesa-Gateway Airport,33.30780029,-111.65499879999999,1382.0,US,Phoenix,ARIZONA,0,IWA
221,3414,medium_airport,Burke Lakefront Airport,41.51750183,-81.6832962,583.0,US,Cleveland,OHIO,0,BKL
222,21220,medium_airport,Truckee Tahoe Airport,39.31999969,-120.1399994,5900.0,US,Truckee,CALIFORNIA,0,TRK
223,20702,small_airport,Petaluma Municipal Airport,38.25780106,-122.6060028,90.0,US,Petaluma,CALIFORNIA,0,O69
224,21181,small_airport,Tracy Municipal Airport,37.68899918,-121.4420013,193.0,US,Tracy,CALIFORNIA,0,TCY
225,3397,medium_airport,Igor I Sikorsky Memorial Airport,41.16350174,-73.12619781,9.0,US,Bridgeport,CONNECTICUT,1,BDR
227,3476,medium_airport,Cheyenne Regional Jerry Olson Field,41.15570068,-104.81199649999999,6159.0,US,Cheyenne,WYOMING,1,CYS
228,3535,medium_airport,Bishop International Airport,42.965400700000004,-83.74359894,782.0,US,Flint,MICHIGAN,1,FNT
229,3708,medium_airport,Missoula International Airport,46.91630173,-114.0910034,3206.0,US,Missoula,MONTANA,1,MSO
230,20564,medium_airport,The Florida Keys Marathon Airport,24.72610092,-81.05139923,5.0,US,Marathon,TEXAS,0,MTH
231,20785,medium_airport,Oxnard Airport,34.20080185,-119.2070007,45.0,US,Oxnard,CALIFORNIA,0,OXR
232,3874,medium_airport,Brown Field Municipal Airport,32.57229996,-116.9800034,526.0,US,San Diego,CALIFORNIA,0,SDM
233,10699,small_airport,Harris Ranch Airport,36.2480011,-120.237999,470.0,US,Coalinga,CALIFORNIA,0,3O8
234,20023,small_airport,Half Moon Bay Airport,37.51340103,-122.5009995,66.0,US,Half Moon Bay,CALIFORNIA,0,HAF
235,19670,small_airport,Marin County Airport - Gnoss Field,38.14360046,-122.5559998,2.0,US,Novato,CALIFORNIA,0,DVO
236,3466,large_airport,Corpus Christi International Airport,27.77039909,-97.50119781,44.0,US,Corpus Christi,TEXAS,1,CRP
237,3770,large_airport,Newport News Williamsburg International Airport,37.13190079,-76.49299622,42.0,US,Newport News,VIRGINIA,1,PHF
238,3557,medium_airport,Grand Junction Regional Airport,39.12239838,-108.52700039999999,4858.0,US,Grand Junction,COLORADO,1,GJT
239,3629,medium_airport,Capital City Airport,42.77870178,-84.58740234,861.0,US,Lansing,MICHIGAN,1,LAN
240,3693,medium_airport,Melbourne International Airport,28.10280037,-80.64530182,33.0,US,Melbourne,FLORIDA,1,MLB
241,3663,medium_airport,Midland International Airport,31.94249916,-102.2020035,2871.0,US,Midland,TEXAS,1,MAF
