Region,2017,2012,2007,1997b,1987b,1977b,1963b,1953b,1938b,1920b,1907b,1630c
New Mexico      ,"16,619","16,615","16,682","15,505","15,432","15,360","15,487","15,050","14,334","15,119","14,854","15,680"
Utah            ,"12,087","11,866","11,962","11,905","11,234","11,720","12,205","11,219","11,310","11,554","11,305","11,890"
Wyoming         ,"9,751","10,807","11,156","10,709","9,731","10,028","9,777","10,513","10,757","11,508","10,952","12,490"
Intermountain Total        ,"123,844","124,614","125,969","121,491","116,506","122,710","119,017","117,249","119,504","125,305","126,401","134,020"
Rocky Mountain total:,"130,641","131,338","131,725","126,289","120,735","127,207","123,806","122,462","125,674","131,010","133,126","139,990"
Alaska          ,"128,735","128,577","126,869","127,380","129,045","128,000","128,000","128,000","128,000","128,000","128,000","128,000"
Oregon          ,"29,653","29,787","30,169","29,651","28,721","29,810","30,739","30,261","30,381","30,282","31,729","30,590"
Washington      ,"22,174","22,435","22,279","21,727","22,558","23,181","23,050","23,868","24,684","23,908","26,834","25,670"
Pacific Northwest Total        ,"51,827","52,222","52,449","51,378","51,279","52,991","53,789","54,129","55,065","54,190","58,563","56,260"
California      ,"31,515","32,057","32,817","33,721","30,582","32,574","34,541","34,078","35,619","37,404","37,404","44,470"
Hawaii          ,"1,471","1,748","1,748","1,748","1,748","1,986","1,982","2,000","2,000","2,000","2,000","2,200"
Pacific Southwest Total        ,"32,986","33,805","34,565","35,469","32,330","34,560","36,523","36,078","37,619","39,404","39,404","46,670"
Pacific Coast total:,"213,549","214,604","213,883","214,226","212,654","215,551","218,312","218,207","220,684","221,594","225,967","230,930"
United States:     ,"765,493","766,234","752,272","741,937","732,553","742,345","752,786","741,652","737,572","721,415","740,870","1,022,535"
