,jan,id,lat,long,name,year,country
702441,726,USC00011520,32.95,-87.1333,CENTREVILLE,1991,US
702461,559,USC00011566,31.4714,-88.2503,CHATOM,1961,US
702491,934,USC00011566,31.4714,-88.2503,CHATOM,1991,US
702511,380,USC00011620,33.285,-86.3431,CHILDERSBURG_WTR_PL,1961,US
702541,729,USC00011620,33.285,-86.3431,CHILDERSBURG_WTR_PL,1991,US
702561,705,USC00011685,31.0833,-88.2333,CITRONELLE,1961,US
702591,1095,USC00011685,31.0833,-88.2333,CITRONELLE,1991,US
702611,400,USC00011694,32.8203,-86.6522,CLANTON,1961,US
702641,700,USC00011694,32.8203,-86.6522,CLANTON,1991,US
702661,651,USC00011725,31.8708,-85.45,CLAYTON,1961,US
702691,851,USC00011725,31.8708,-85.45,CLAYTON,1991,US
702711,770,USC00011803,30.3875,-88.2269,CODEN,1961,US
702741,1125,USC00011803,30.3875,-88.2269,CODEN,1991,US
702761,372,USC00011940,33.75,-87.15,CORDOVA_2_ENE,1961,US
702791,669,USC00011940,33.75,-87.15,CORDOVA_2_ENE,1991,US
702811,183,USC00012096,34.1925,-86.7972,CULLMAN_NAHS,1961,US
702841,481,USC00012096,34.1925,-86.7972,CULLMAN_NAHS,1991,US
702861,869,USC00012172,30.2506,-88.0775,DAUPHIN_ISLAND_2,1961,US
702891,1236,USC00012172,30.2506,-88.0775,DAUPHIN_ISLAND_2,1991,US
702911,557,USC00012188,32.3667,-87.65,DAYTON_1_N,1961,US
702941,858,USC00012188,32.3667,-87.65,DAYTON_1_N,1991,US
702961,192,USC00012207,34.5833,-86.9667,DECATUR,1961,US
702991,569,USC00012207,34.5833,-86.9667,DECATUR,1991,US
703011,448,USC00012245,32.5192,-87.88,DEMOPOLIS_LD,1961,US
703041,816,USC00012245,32.5192,-87.88,DEMOPOLIS_LD,1991,US
703061,184,USC00012386,34.15,-87.4167,DOUBLE_SPRINGS,1961,US
703091,533,USC00012386,34.15,-87.4167,DOUBLE_SPRINGS,1991,US
703111,635,USC00012675,31.2975,-85.8997,ENTERPRISE_4_W,1961,US
703141,1069,USC00012675,31.2975,-85.8997,ENTERPRISE_4_W,1991,US
703161,559,USC00012727,31.8667,-85.15,EUFAULA,1961,US
703191,943,USC00012727,31.8667,-85.15,EUFAULA,1991,US
703211,654,USC00012730,32.0111,-85.09,EUFAULA_WILDLIFE_REF,1961,US
703241,1014,USC00012730,32.0111,-85.09,EUFAULA_WILDLIFE_REF,1991,US
703261,597,USC00012758,31.445,-86.9533,EVERGREEN,1961,US
703291,950,USC00012758,31.445,-86.9533,EVERGREEN,1991,US
703311,767,USC00012813,30.5467,-87.8808,FAIRHOPE_2_NE,1961,US
703341,1118,USC00012813,30.5467,-87.8808,FAIRHOPE_2_NE,1991,US
703361,270,USC00012840,34.3667,-86.8833,FALKVILLE_1_E,1961,US
703391,587,USC00012840,34.3667,-86.8833,FALKVILLE_1_E,1991,US
703411,393,USC00012883,33.6847,-87.8214,FAYETTE,1961,US
703441,716,USC00012883,33.6847,-87.8214,FAYETTE,1991,US
703461,265,USC00012971,34.8,-87.6833,FLORENCE,1961,US
703491,592,USC00012971,34.8,-87.6833,FLORENCE,1991,US
703511,484,USC00013024,31.9833,-86.5833,FT_DEPOSIT,1961,US
703541,730,USC00013024,31.9833,-86.5833,FT_DEPOSIT,1991,US
703561,974,USC00013035,30.2333,-88.0167,FT_MORGAN,1961,US
703591,1335,USC00013035,30.2333,-88.0167,FT_MORGAN,1991,US
703611,566,USC00013105,31.3894,-87.4203,FRISCO_CITY_3_SSW,1961,US
703641,941,USC00013105,31.3894,-87.4203,FRISCO_CITY_3_SSW,1991,US
703661,144,USC00013151,34.0167,-86.0,GADSDEN,1961,US
703691,521,USC00013151,34.0167,-86.0,GADSDEN,1991,US
703711,365,USC00013154,34.0219,-85.9878,GADSDEN,1961,US
703741,608,USC00013154,34.0219,-85.9878,GADSDEN,1991,US
703761,415,USC00013160,32.8347,-88.1342,GAINESVILLE_LOCK,1961,US
703791,727,USC00013160,32.8347,-88.1342,GAINESVILLE_LOCK,1991,US
703811,719,USC00013251,31.0383,-85.8708,GENEVA_2,1961,US
703841,1062,USC00013251,31.0383,-85.8708,GENEVA_2,1991,US
703861,581,USC00013255,31.0386,-85.87,GENEVA,1961,US
703891,964,USC00013255,31.0386,-85.87,GENEVA,1991,US
703911,544,USC00013308,31.8833,-88.3333,GILBERTOWN,1961,US
703941,844,USC00013308,31.8833,-88.3333,GILBERTOWN,1991,US
703961,293,USC00013399,33.0667,-86.05,GOODWATER,1961,US
703991,672,USC00013399,33.0667,-86.05,GOODWATER,1991,US
704011,405,USC00013511,32.7019,-87.5814,GREENSBORO,1961,US
704041,684,USC00013511,32.7019,-87.5814,GREENSBORO,1991,US
704061,546,USC00013519,31.79,-86.6086,GREENVILLE,1961,US
704091,825,USC00013519,31.79,-86.6086,GREENVILLE,1991,US
704111,328,USC00013573,34.3344,-86.3297,GUNTERSVILLE,1961,US
704141,575,USC00013573,34.3344,-86.3297,GUNTERSVILLE,1991,US
704161,267,USC00013575,34.3347,-86.3294,GUNTERSVILLE_NO2,1961,US
704191,577,USC00013575,34.3347,-86.3294,GUNTERSVILLE_NO2,1991,US
704211,291,USC00013620,34.2314,-87.6353,HALEYVILLE,1961,US
704241,525,USC00013620,34.2314,-87.6353,HALEYVILLE,1991,US
704261,296,USC00013645,34.0967,-87.9914,HAMILTON_3_S,1961,US
704291,576,USC00013645,34.0967,-87.9914,HAMILTON_3_S,1991,US
704311,173,USC00013655,34.0678,-86.7911,HANCEVILLE,1961,US
704341,505,USC00013655,34.0678,-86.7911,HANCEVILLE,1991,US
704361,541,USC00013748,32.1833,-86.5833,HAYNEVILLE,1961,US
704391,910,USC00013748,32.1833,-86.5833,HAYNEVILLE,1991,US
704411,686,USC00013761,31.3625,-85.3397,HEADLAND,1961,US
704441,1094,USC00013761,31.3625,-85.3397,HEADLAND,1991,US
704461,355,USC00013775,33.6483,-85.6006,HEFLIN,1961,US
704491,624,USC00013775,33.6483,-85.6006,HEFLIN,1991,US
704511,346,USC00013781,33.2725,-86.8336,HELENA,1961,US
704541,715,USC00013781,33.2725,-86.8336,HELENA,1991,US
704561,515,USC00013816,31.8814,-86.2503,HIGHLAND_HOME,1961,US
704591,739,USC00013816,31.8814,-86.2503,HIGHLAND_HOME,1991,US
704611,573,USC00013818,31.9478,-86.3131,HIGHLAND_HOME_2,1961,US
704641,830,USC00013818,31.9478,-86.3131,HIGHLAND_HOME_2,1991,US
704661,152,USC00014068,34.7,-86.5833,HUNTSVILLE_4_SSE,1961,US
704691,541,USC00014068,34.7,-86.5833,HUNTSVILLE_4_SSE,1991,US
704711,566,USC00014193,31.5253,-87.9278,JACKSON,1961,US
704741,929,USC00014193,31.5253,-87.9278,JACKSON,1991,US
704761,263,USC00014226,33.9047,-87.3153,JASPER,1961,US
704791,624,USC00014226,33.9047,-87.3153,JASPER,1991,US
704811,358,USC00014502,32.9069,-85.4336,LAFAYETTE_2W,1961,US
704841,704,USC00014502,32.9069,-85.4336,LAFAYETTE_2W,1991,US
704861,481,USC00014798,32.5811,-88.1897,LIVINGSTON,1961,US
704891,707,USC00014798,32.5811,-88.1897,LIVINGSTON,1991,US
704911,607,USC00014822,31.0167,-86.3667,LOCKHART,1961,US
704941,1001,USC00014822,31.0167,-86.3667,LOCKHART,1991,US
704961,320,USC00014845,33.6333,-86.1833,LINCOLN_LOCK_4,1961,US
704991,689,USC00014845,33.6333,-86.1833,LINCOLN_LOCK_4,1991,US
705011,187,USC00014976,34.7,-86.75,MADISON,1961,US
705041,570,USC00014976,34.7,-86.75,MADISON,1991,US
705061,528,USC00015121,32.4714,-87.2314,MARION_JUNCTION_2_NE,1961,US
705091,856,USC00015121,32.4714,-87.2314,MARION_JUNCTION_2_NE,1991,US
705111,490,USC00015140,32.6667,-85.9167,MARTIN_DAM,1961,US
705141,781,USC00015140,32.6667,-85.9167,MARTIN_DAM,1991,US
705161,483,USC00015439,32.4419,-85.8889,MILSTEAD,1961,US
705191,784,USC00015439,32.4419,-85.8889,MILSTEAD,1991,US
705211,547,USC00015449,32.1,-87.0333,MINTER_3_NW,1961,US
705241,872,USC00015449,32.1,-87.0333,MINTER_3_NW,1991,US
705261,623,USC00015483,30.6833,-88.0333,MOBILE,1961,US
705291,1070,USC00015483,30.6833,-88.0333,MOBILE,1991,US
705311,558,USC00015553,32.26,-86.2181,MONTGOMERY_6SW,1961,US
705341,883,USC00015553,32.26,-86.2181,MONTGOMERY_6SW,1991,US
705361,529,USC00015555,32.3833,-86.3,MONTGOMERY_WB_CITY,1961,US
705391,838,USC00015555,32.3833,-86.3,MONTGOMERY_WB_CITY,1991,US
705411,140,USC00015635,34.4883,-87.2989,MOULTON_2,1961,US
705441,491,USC00015635,34.4883,-87.2989,MOULTON_2,1991,US
705461,554,USC00015785,31.7167,-87.2667,NATCHEZ,1961,US
705491,926,USC00015785,31.7167,-87.2667,NATCHEZ,1991,US
705511,120,USC00015867,34.9167,-86.45,NEW_MARKET_2,1961,US
705541,461,USC00015867,34.9167,-86.45,NEW_MARKET_2,1991,US
705561,355,USC00016121,33.9478,-86.4692,ONEONTA,1961,US
705591,694,USC00016121,33.9478,-86.4692,ONEONTA,1991,US
705611,401,USC00016129,32.6592,-85.4492,OPELIKA,1961,US
705641,760,USC00016129,32.6592,-85.4492,OPELIKA,1991,US
705661,205,USC00016196,34.5528,-86.445,OWENS_CROSS_ROADS_3S,1961,US
705691,509,USC00016196,34.5528,-86.445,OWENS_CROSS_ROADS_3S,1991,US
705711,553,USC00016218,31.5333,-85.6833,OZARK_6_NNW,1961,US
705741,953,USC00016218,31.5333,-85.6833,OZARK_6_NNW,1991,US
705761,267,USC00016329,33.6,-86.2667,PELL_CITY_1_NNE,1961,US
705791,613,USC00016329,33.6,-86.2667,PELL_CITY_1_NNE,1991,US
705811,435,USC00016398,32.5,-85.0167,PHENIX_CITY_2_NNW,1961,US
705841,749,USC00016398,32.5,-85.0167,PHENIX_CITY_2_NNW,1991,US
705861,193,USC00016478,33.6906,-86.685,PINSON,1961,US
705891,599,USC00016478,33.6906,-86.685,PINSON,1991,US
705911,496,USC00016501,32.1833,-85.1667,PITTSVIEW,1961,US
705941,828,USC00016501,32.1833,-85.1667,PITTSVIEW,1991,US
705961,547,USC00016640,32.4833,-86.4833,PRATTVILLE,1961,US
705991,880,USC00016640,32.4833,-86.4833,PRATTVILLE,1991,US
706011,462,USC00016719,32.2,-88.35,PUSHMATAHA,1961,US
706041,798,USC00016719,32.2,-88.35,PUSHMATAHA,1991,US
706061,235,USC00016805,34.4333,-88.1333,RED_BAY,1961,US
706091,534,USC00016805,34.4333,-88.1333,RED_BAY,1991,US
706111,158,USC00016833,34.5833,-86.6,REDSTONE_ARSENAL,1961,US
706141,512,USC00016833,34.5833,-86.6,REDSTONE_ARSENAL,1991,US
706161,621,USC00016988,30.5653,-87.7017,ROBERTSDALE,1961,US
706191,1064,USC00016988,30.5653,-87.7017,ROBERTSDALE,1991,US
706211,269,USC00017020,32.8711,-86.1758,ROCKFORD_3_ESE,1961,US
706241,634,USC00017020,32.8711,-86.1758,ROCKFORD_3_ESE,1991,US
706261,277,USC00017025,33.1581,-85.2911,ROCK_MILLS,1961,US
706291,618,USC00017025,33.1581,-85.2911,ROCK_MILLS,1991,US
706311,275,USC00017131,34.51,-87.7319,RUSSELLVILLE_NO_2,1961,US
706341,562,USC00017131,34.51,-87.7319,RUSSELLVILLE_NO_2,1991,US
706361,186,USC00017157,34.1736,-86.8133,SAINT_BERNARD,1961,US
706391,603,USC00017157,34.1736,-86.8133,SAINT_BERNARD,1991,US
706411,234,USC00017207,34.2878,-85.9681,SAND_MT_SUBSTN,1961,US
706441,513,USC00017207,34.2878,-85.9681,SAND_MT_SUBSTN,1991,US
706461,259,USC00017304,34.6736,-86.0536,SCOTTSBORO,1961,US
706491,558,USC00017304,34.6736,-86.0536,SCOTTSBORO,1991,US
706511,588,USC00017366,32.4111,-87.0144,SELMA,1961,US
706541,880,USC00017366,32.4111,-87.0144,SELMA,1991,US
706561,724,USC00017733,30.7,-88.1667,SPRING_HILL,1961,US
706591,1093,USC00017733,30.7,-88.1667,SPRING_HILL,1991,US
706611,361,USC00017999,33.2053,-86.2114,SYLACAUGA_4_NE,1961,US
706641,691,USC00017999,33.2053,-86.2114,SYLACAUGA_4_NE,1991,US
706661,296,USC00018024,33.4164,-86.135,TALLADEGA,1961,US
706691,663,USC00018024,33.4164,-86.135,TALLADEGA,1991,US
706711,507,USC00018178,31.9172,-87.7347,THOMASVILLE,1961,US
706741,855,USC00018178,31.9172,-87.7347,THOMASVILLE,1991,US
706761,444,USC00018209,32.9206,-86.6708,THORSBY_EXP_STN,1961,US
706791,720,USC00018209,32.9206,-86.6708,THORSBY_EXP_STN,1991,US
706811,691,USC00018323,31.8075,-85.9722,TROY,1961,US
706841,965,USC00018323,31.8075,-85.9722,TROY,1991,US
706861,442,USC00018380,33.2119,-87.6161,TUSCALOOSA_ACFD,1961,US
706891,819,USC00018380,33.2119,-87.6161,TUSCALOOSA_ACFD,1991,US
706911,374,USC00018385,33.2097,-87.5936,TUSCALOOSA_OLIVER_DAM,1961,US
706941,715,USC00018385,33.2097,-87.5936,TUSCALOOSA_OLIVER_DAM,1991,US
706961,305,USC00018391,34.7167,-87.7167,TUSCUMBIA,1961,US
706991,623,USC00018391,34.7167,-87.7167,TUSCUMBIA,1991,US
707011,435,USC00018398,32.4333,-85.7,TUSKEGEE,1961,US
707041,831,USC00018398,32.4333,-85.7,TUSKEGEE,1991,US
707061,440,USC00018403,32.3833,-85.65,TUSKEGEE_3_S,1961,US
707091,793,USC00018403,32.3833,-85.65,TUSKEGEE_3_S,1991,US
707111,467,USC00018438,32.0142,-85.7464,UNION_SPRINGS_9_S,1961,US
707141,813,USC00018438,32.0142,-85.7464,UNION_SPRINGS_9_S,1991,US
707161,441,USC00018446,32.4717,-87.5211,UNIONTOWN,1961,US
707191,729,USC00018446,32.4717,-87.5211,UNIONTOWN,1991,US
707211,354,USC00018454,33.2,-87.55,UNIVERSITY,1961,US
707241,678,USC00018454,33.2,-87.55,UNIVERSITY,1991,US
707261,61,USC00018469,34.5686,-85.6064,VALLEY_HEAD,1961,US
707291,431,USC00018469,34.5686,-85.6064,VALLEY_HEAD,1991,US
707311,406,USC00018517,33.7392,-88.1275,VERNON,1961,US
707341,710,USC00018517,33.7392,-88.1275,VERNON,1991,US
707361,112,USC00018686,34.9167,-88.0667,WATERLOO,1961,US
707391,399,USC00018686,34.9167,-88.0667,WATERLOO,1991,US
707411,561,USC00018859,32.5906,-86.2103,WETUMPKA,1961,US
707441,851,USC00018859,32.5906,-86.2103,WETUMPKA,1991,US
707461,518,USC00018867,31.6508,-87.7097,WHATLEY,1961,US
707491,899,USC00018867,31.6508,-87.7097,WHATLEY,1991,US
707511,235,USC00018998,33.9111,-87.8469,WINFIELD_2_SW,1961,US
707541,537,USC00018998,33.9111,-87.8469,WINFIELD_2_SW,1991,US
707561,1016,USC00020060,33.9433,-113.1875,AGUILA,1961,US
707591,892,USC00020060,33.9433,-113.1875,AGUILA,1991,US
707611,1284,USC00020080,32.3697,-112.86,AJO,1961,US
707641,1225,USC00020080,32.3697,-112.86,AJO,1991,US
707661,1044,USC00020099,34.25,-113.4667,ALAMO_DAM_6_ESE,1961,US
707691,924,USC00020099,34.25,-113.4667,ALAMO_DAM_6_ESE,1991,US
707711,983,USC00020100,34.2281,-113.5778,ALAMO_DAM,1961,US
707741,804,USC00020100,34.2281,-113.5778,ALAMO_DAM,1991,US
707761,1270,USC00020104,33.5167,-112.1167,ALHAMBRA,1961,US
707791,1130,USC00020104,33.5167,-112.1167,ALHAMBRA,1991,US
707811,-287,USC00020159,33.8492,-109.1469,ALPINE,1961,US
707841,-350,USC00020159,33.8492,-109.1469,ALPINE,1991,US
707861,929,USC00020287,31.9792,-111.3836,ANVIL_RCH,1961,US
707891,823,USC00020287,31.9792,-111.3836,ANVIL_RCH,1991,US
707911,1327,USC00020288,33.4625,-111.4814,APACHE_JUNCTION_5_NE,1961,US
707941,1084,USC00020288,33.4625,-111.4814,APACHE_JUNCTION_5_NE,1991,US
707961,525,USC00020300,31.7167,-109.2333,APACHE_6_WNW,1961,US
707991,493,USC00020300,31.7167,-109.2333,APACHE_6_WNW,1991,US
708011,1342,USC00020306,33.4167,-111.55,APACHE_JUNCTION,1961,US
708041,1155,USC00020306,33.4167,-111.55,APACHE_JUNCTION,1991,US
708061,692,USC00020309,31.9,-110.25,APACHE_POWDER_COMPANY,1961,US
708091,653,USC00020309,31.9,-110.25,APACHE_POWDER_COMPANY,1991,US
708111,983,USC00020404,32.7306,-111.6917,ARIZONA_CITY,1961,US
708141,821,USC00020404,32.7306,-111.6917,ARIZONA_CITY,1991,US
708161,412,USC00020482,35.3,-112.4833,ASH_FORK_6_N,1961,US
708191,213,USC00020482,35.3,-112.4833,ASH_FORK_6_N,1991,US
708211,951,USC00020582,34.6,-113.2,BAGDAD,1961,US
708241,713,USC00020582,34.6,-113.2,BAGDAD,1991,US
708261,851,USC00020586,34.5975,-113.1744,BAGDAD,1961,US
708291,585,USC00020586,34.5975,-113.1744,BAGDAD,1991,US
708311,676,USC00020590,34.65,-113.0833,BAGDAD_8_NE,1961,US
708341,474,USC00020590,34.65,-113.0833,BAGDAD_8_NE,1991,US
708361,1475,USC00020632,33.8097,-111.6497,BARTLETT_DAM,1961,US
708391,1188,USC00020632,33.8097,-111.6497,BARTLETT_DAM,1991,US
708411,682,USC00020670,34.6417,-111.7831,BEAVER_CREEK,1961,US
708441,610,USC00020670,34.6417,-111.7831,BEAVER_CREEK,1991,US
708461,819,USC00020672,36.9139,-113.9422,BEAVER_DAM,1961,US
708491,785,USC00020672,36.9139,-113.9422,BEAVER_DAM,1991,US
708511,-343,USC00020678,35.23,-111.8214,BELLEMONT_WFO,1961,US
708541,-368,USC00020678,35.23,-111.8214,BELLEMONT_WFO,1991,US
708561,981,USC00020680,31.9667,-110.3,BENSON,1961,US
708591,837,USC00020680,31.9667,-110.3,BENSON,1991,US
708611,787,USC00020683,31.8806,-110.2403,BENSON6_SE,1961,US
708641,686,USC00020683,31.8806,-110.2403,BENSON6_SE,1991,US
708661,-120,USC00020750,36.6778,-110.5411,BETATAKIN,1961,US
708691,-398,USC00020750,36.6778,-110.5411,BETATAKIN,1991,US
708711,763,USC00020768,31.4333,-109.9167,BISBEE,1961,US
708741,689,USC00020768,31.4333,-109.9167,BISBEE,1991,US
708761,878,USC00020773,31.4269,-109.895,BISBEE_2,1961,US
708791,795,USC00020773,31.4269,-109.895,BISBEE_2,1991,US
708811,581,USC00020775,31.4475,-109.9289,BISBEE_1WNW,1961,US
708841,532,USC00020775,31.4475,-109.9289,BISBEE_1WNW,1991,US
708861,124,USC00020808,33.4783,-109.7517,BLACK_RIVER_PUMPS,1961,US
708891,185,USC00020808,33.4783,-109.7517,BLACK_RIVER_PUMPS,1991,US
708911,308,USC00020855,33.5833,-109.1667,BLUE,1961,US
708941,304,USC00020855,33.5833,-109.1667,BLUE,1991,US
708961,-12,USC00020871,34.6108,-111.1922,BLUE_RIDGE_RS,1961,US
708991,-227,USC00020871,34.6108,-111.1922,BLUE_RIDGE_RS,1991,US
709011,1006,USC00020949,33.9431,-114.0242,BOUSE,1961,US
709041,886,USC00020949,33.9431,-114.0242,BOUSE,1991,US
709061,611,USC00020958,32.325,-109.4917,BOWIE,1961,US
709091,670,USC00020958,32.325,-109.4917,BOWIE,1991,US
709111,-114,USC00021001,36.2147,-112.062,BRIGHT_ANGEL_RS,1961,US
709141,-392,USC00021001,36.2147,-112.062,BRIGHT_ANGEL_RS,1991,US
709161,1163,USC00021026,33.3761,-112.5828,BUCKEYE,1961,US
709191,1043,USC00021026,33.3761,-112.5828,BUCKEYE,1991,US
709211,1274,USC00021050,35.1411,-114.5686,BULLHEAD_CITY,1961,US
709241,1096,USC00021050,35.1411,-114.5686,BULLHEAD_CITY,1991,US
709261,-168,USC00021101,35.2667,-111.5333,BURRUS_RCH,1961,US
709291,-225,USC00021101,35.2667,-111.5333,BURRUS_RCH,1991,US
709311,1350,USC00021161,33.4833,-111.9667,ARIZONA_FALLS_1_WNW,1961,US
709341,1188,USC00021161,33.4833,-111.9667,ARIZONA_FALLS_1_WNW,1991,US
709361,161,USC00021169,35.8833,-111.4,CAMERON_1_NNE,1961,US
709391,139,USC00021169,35.8833,-111.4,CAMERON_1_NNE,1991,US
709411,517,USC00021231,31.5589,-110.5294,CANELO_1_NW,1961,US
709441,472,USC00021231,31.5589,-110.5294,CANELO_1_NW,1991,US
709461,-271,USC00021248,36.1533,-109.5394,CANYON_DE_CHELLY,1961,US
709491,-267,USC00021248,36.1533,-109.5394,CANYON_DE_CHELLY,1991,US
709511,1262,USC00021282,33.8161,-111.9019,CAREFREE,1961,US
709541,1050,USC00021282,33.8161,-111.9019,CAREFREE,1991,US
709561,1217,USC00021306,32.8878,-111.7117,CASA_GRANDE,1961,US
709591,1079,USC00021306,32.8878,-111.7117,CASA_GRANDE,1991,US
709611,1136,USC00021314,32.9947,-111.5367,CASA_GRANDE_NM,1961,US
709641,993,USC00021314,32.9947,-111.5367,CASA_GRANDE_NM,1991,US
709661,840,USC00021330,32.3222,-110.4147,CASCABEL,1961,US
709691,753,USC00021330,32.3222,-110.4147,CASCABEL,1991,US
709711,1414,USC00021353,33.9825,-112.3617,CASTLE_HOT_SPRINGS,1961,US
709741,1185,USC00021353,33.9825,-112.3617,CASTLE_HOT_SPRINGS,1991,US
709761,965,USC00021357,32.4178,-110.9303,CATALINA_SP,1961,US
709791,880,USC00021357,32.4178,-110.9303,CATALINA_SP,1991,US
709811,1126,USC00021361,33.8333,-111.95,CAVE_CREEK,1961,US
709841,989,USC00021361,33.8333,-111.95,CAVE_CREEK,1991,US
709861,1226,USC00021511,33.3,-111.8333,CHANDLER,1961,US
709891,1081,USC00021511,33.3,-111.8333,CHANDLER,1991,US
709911,1226,USC00021514,33.2058,-111.6819,CHANDLER_HEIGHTS,1961,US
709941,1024,USC00021514,33.2058,-111.6819,CHANDLER_HEIGHTS,1991,US
709961,-69,USC00021574,34.54,-110.9153,CHEVELON_RS,1961,US
709991,-181,USC00021574,34.54,-110.9153,CHEVELON_RS,1991,US
710011,915,USC00021614,34.3494,-111.6981,CHILDS,1961,US
710041,816,USC00021614,34.3494,-111.6981,CHILDS,1991,US
710061,-241,USC00021634,36.15,-109.5333,CHINLE,1961,US
710091,-303,USC00021634,36.15,-109.5333,CHINLE,1991,US
710111,466,USC00021654,34.7569,-112.4567,CHINO_VALLEY,1961,US
710141,375,USC00021654,34.7569,-112.4567,CHINO_VALLEY,1991,US
